messageId,temperature,humidity,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,IoTHub,ProcessedTime,RecordDateTS,Recorddate,RecordTime,RecordTimeHr
174,27,46,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:03 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
178,27,45.90000153,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:08 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
182,27,45.79999924,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:13 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
183,27,45.90000153,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:14 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
184,27,45.79999924,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:15 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
185,27,45.90000153,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:17 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
188,27,45.79999924,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:21 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
191,27,45.90000153,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:24 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
192,26.89999962,45.79999924,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:26 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
193,26.89999962,45.79999924,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:27 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
194,26.89999962,46,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:28 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
195,26.89999962,45.79999924,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:29 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
197,26.89999962,45.79999924,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:32 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
198,26.89999962,45.90000153,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:33 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
199,26.89999962,45.79999924,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:35 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
201,26.89999962,45.79999924,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:37 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
202,26.89999962,45.90000153,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:38 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
203,26.89999962,45.70000076,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:40 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
204,26.89999962,45.79999924,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:41 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
206,26.89999962,46,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:43 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
207,26.89999962,45.70000076,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:45 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
208,26.89999962,45.79999924,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:46 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
209,27,45.79999924,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:47 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
211,26.89999962,45.70000076,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:50 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
213,26.89999962,45.79999924,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:52 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
215,26.89999962,45.90000153,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:55 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
216,26.89999962,45.79999924,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:56 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
218,26.89999962,45.90000153,7/26/2019 1:33:03 AM,3,7/26/2019 1:29:58 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
219,26.89999962,45.90000153,7/26/2019 1:33:03 AM,3,7/26/2019 1:30:00 AM,Record,7/26/2019 1:33:04 AM,7/26/2019 1:33:04 AM,2019-07-26,1:33:04,1
